Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
api-web-combination-sample - Create and update a task by both API and UI,Chrome 109.0.0.0,,,2023-02-13 11:31:18,2023-02-13 11:32:10,51.665s,FAILED
,,,,,,,
Test Cases/Create a new ticket by API,Chrome 109.0.0.0,,,2023-02-13 11:31:19,2023-02-13 11:31:26,6.934s,PASSED
"sample.Common.createNewTicket(project, issueType, summary, expectedStatus)",Chrome 109.0.0.0,,,2023-02-13 11:31:20,2023-02-13 11:31:26,6.432s,PASSED
Start listener action : sampleAfterTestCase,Chrome 109.0.0.0,,,2023-02-13 11:31:26,2023-02-13 11:31:26,0.011s,PASSED
,,,,,,,
Test Cases/Create and update a ticket by both API and UI,Chrome 109.0.0.0,,,2023-02-13 11:31:26,2023-02-13 11:32:10,43.665s,FAILED
"ticketKey = sample.Common.createNewTicket(project, issueType, summary)",Chrome 109.0.0.0,create a new task by calling api,,2023-02-13 11:31:26,2023-02-13 11:31:29,2.242s,PASSED
sample.Common.accessJira(),Chrome 109.0.0.0,access to Jira and bypass authorization,,2023-02-13 11:31:29,2023-02-13 11:31:54,25.781s,PASSED
"sample.Common.updateExistingTicket(ticketKey, newSummary)",Chrome 109.0.0.0,update the name of the task on UI,,2023-02-13 11:31:54,2023-02-13 11:32:10,15.434s,FAILED
Start listener action : sampleAfterTestCase,Chrome 109.0.0.0,,,2023-02-13 11:32:10,2023-02-13 11:32:10,0.002s,PASSED
